"id","days_to_event","date_out","out_event","date_in","in_event","breed","color","intake_age","adopt"
"A689937",7,"10/18/2014 06:01:00 PM","Adoption","10/11/2014 03:09:00 PM","Stray","Domestic Shorthair Mix","Black",1,1
"A767485",58,"04/28/2018 04:45:00 PM","Adoption","03/01/2018 05:17:00 PM","Stray","Domestic Shorthair Mix","Black",12,1
"A669791",1,"12/28/2013 04:22:00 PM","Transfer","12/27/2013 12:46:00 PM","Stray","Domestic Shorthair Mix","Tortie",12,0
"A709905",1,"08/15/2015 08:05:00 AM","Died","08/14/2015 12:50:00 PM","Stray","Domestic Shorthair Mix","Blue Smoke",1,0
"A727501",31,"06/22/2016 05:35:00 PM","Adoption","05/22/2016 04:44:00 PM","Stray","Domestic Shorthair Mix","Blue Tabby",24,1
"A713469",5,"10/12/2015 05:34:00 PM","Adoption","10/07/2015 01:12:00 PM","Stray","Domestic Shorthair Mix","Black",1,1
"A728674",28,"07/04/2016 04:16:00 PM","Adoption","06/06/2016 05:18:00 PM","Stray","Domestic Shorthair Mix","Silver Tabby",1,1
"A752432",24,"07/16/2017 11:29:00 AM","Transfer","06/22/2017 11:35:00 AM","Stray","Domestic Shorthair Mix","White/Brown Tabby",3,0
"A702320",1,"05/13/2015 09:00:00 AM","Transfer","05/12/2015 11:00:00 AM","Stray","Domestic Shorthair Mix","Orange Tabby/White",12,0
"A771296",7,"05/10/2018 01:57:00 PM","Transfer","05/03/2018 11:19:00 AM","Stray","Domestic Shorthair Mix","Gray Tabby",2,0
"A751314",11,"06/17/2017 04:36:00 PM","Adoption","06/06/2017 03:48:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby/White",1,1
"A740748",1,"12/23/2016 08:23:00 AM","Died","12/22/2016 07:05:00 AM","Stray","Domestic Shorthair Mix","Brown Tabby",12,0
"A684784",6,"08/03/2014 05:17:00 PM","Adoption","07/28/2014 03:38:00 PM","Stray","Domestic Shorthair Mix","Black",1,1
"A757843",9,"09/16/2017 02:43:00 PM","Adoption","09/07/2017 01:10:00 PM","Owner Surrender","Domestic Shorthair Mix","Lynx Point/White",120,1
"A756476",5,"08/25/2017 03:26:00 PM","Transfer","08/20/2017 01:36:00 PM","Stray","Domestic Shorthair Mix","Blue/White",12,0
"A711334",144,"01/27/2016 09:36:00 AM","Adoption","09/05/2015 01:02:00 PM","Owner Surrender","Domestic Longhair Mix","Blue/White",84,1
"A741215",1,"12/30/2016 09:00:00 AM","Transfer","12/29/2016 02:21:00 PM","Stray","Domestic Shorthair","White/Brown Tabby",7,0
"A741502",4,"01/07/2017 05:12:00 PM","Adoption","01/03/2017 09:52:00 AM","Owner Surrender","Domestic Shorthair","Black/White",2,1
"A708637",1,"07/30/2015 09:00:00 AM","Transfer","07/29/2015 06:10:00 PM","Stray","Domestic Shorthair Mix","Torbie",24,0
"A766481",4,"02/13/2018 11:08:00 AM","Transfer","02/09/2018 06:40:00 PM","Stray","Domestic Shorthair Mix","Gray Tabby/Black",24,0
"A707436",8,"07/21/2015 05:17:00 PM","Adoption","07/13/2015 11:27:00 AM","Stray","Domestic Shorthair Mix","Black/White",1,1
"A691978",5,"12/03/2014 04:06:00 PM","Transfer","11/28/2014 04:35:00 PM","Owner Surrender","Domestic Shorthair Mix","Brown Tabby",5,0
"A677870",1,"05/01/2014 04:25:00 PM","Transfer","04/30/2014 02:47:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",12,0
"A682570",51,"08/19/2014 09:50:00 AM","Adoption","06/29/2014 05:31:00 PM","Stray","Domestic Shorthair Mix","Black",3,1
"A717014",11,"12/11/2015 04:02:00 PM","Adoption","11/30/2015 04:15:00 PM","Stray","Pixiebob Shorthair Mix","Brown Tabby",1,1
"A761058",1,"10/29/2017 01:08:00 PM","Adoption","10/28/2017 01:43:00 PM","Owner Surrender","Domestic Shorthair Mix","Blue Tabby",4,1
"A752689",4,"06/30/2017 03:28:00 PM","Transfer","06/26/2017 10:26:00 AM","Stray","Domestic Shorthair Mix","Black/White",24,0
"A702438",38,"06/20/2015 04:46:00 PM","Adoption","05/13/2015 05:38:00 PM","Stray","Domestic Shorthair Mix","Tortie",4,1
"A710125",68,"10/25/2015 12:02:00 PM","Adoption","08/18/2015 11:46:00 AM","Public Assist","Domestic Shorthair Mix","Orange Tabby",1,1
"A703220",8,"05/29/2015 11:25:00 AM","Transfer","05/21/2015 05:24:00 PM","Stray","Domestic Shorthair Mix","Blue Tabby/White",2,0
"A694380",3,"12/30/2014 06:16:00 PM","Adoption","12/27/2014 11:00:00 AM","Owner Surrender","Domestic Shorthair Mix","Black",2,1
"A704313",2,"06/05/2015 11:58:00 AM","Adoption","06/03/2015 03:24:00 PM","Owner Surrender","Domestic Shorthair Mix","Blue",1,1
"A703069",55,"07/14/2015 12:42:00 PM","Adoption","05/20/2015 11:07:00 AM","Stray","Siamese Mix","Lilac Point",3,1
"A705892",7,"06/29/2015 06:40:00 PM","Adoption","06/22/2015 12:56:00 PM","Owner Surrender","Domestic Medium Hair","Brown Tabby/White",2,1
"A691496",36,"12/11/2014 07:07:00 PM","Adoption","11/05/2014 03:18:00 PM","Stray","Domestic Shorthair Mix","Tortie",1,1
"A733531",30,"09/22/2016 04:01:00 PM","Transfer","08/23/2016 05:16:00 PM","Owner Surrender","Domestic Shorthair Mix","Orange Tabby/White",12,0
"A706223",1,"06/27/2015 12:05:00 PM","Transfer","06/26/2015 12:13:00 PM","Stray","Domestic Longhair Mix","White",1,0
"A689561",31,"11/06/2014 10:02:00 AM","Adoption","10/06/2014 11:26:00 AM","Stray","Domestic Shorthair Mix","Calico",1,1
"A723828",47,"05/24/2016 12:05:00 PM","Adoption","04/07/2016 03:45:00 PM","Stray","Domestic Shorthair Mix","Orange Tabby/White",4,1
"A716029",4,"11/17/2015 07:06:00 PM","Transfer","11/13/2015 11:44:00 AM","Stray","Domestic Longhair Mix","Brown/White",9,0
"A765505",2,"01/23/2018 09:06:00 PM","Adoption","01/21/2018 03:13:00 PM","Owner Surrender","Domestic Shorthair Mix","Blue Cream",3,1
"A709171",5,"08/10/2015 09:37:00 AM","Euthanasia","08/05/2015 03:30:00 PM","Stray","Domestic Shorthair Mix","Blue/White",12,0
"A716340",13,"12/01/2015 05:24:00 PM","Adoption","11/18/2015 02:26:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",1,1
"A693287",5,"12/10/2014 06:36:00 PM","Adoption","12/05/2014 11:51:00 AM","Stray","Domestic Shorthair Mix","Brown Tabby",2,1
"A680249",182,"11/29/2014 02:16:00 PM","Adoption","05/31/2014 01:09:00 PM","Stray","Domestic Shorthair Mix","Orange Tabby",1,1
"A753084",10,"07/11/2017 03:29:00 PM","Transfer","07/01/2017 01:08:00 PM","Stray","Domestic Shorthair Mix","Cream Tabby",1,0
"A732376",41,"09/16/2016 10:39:00 AM","Died","08/06/2016 04:14:00 PM","Stray","Domestic Medium Hair Mix","Black",4,0
"A748603",3,"05/07/2017 01:55:00 PM","Transfer","05/04/2017 12:51:00 PM","Owner Surrender","Domestic Medium Hair Mix","Brown Tabby/White",2,0
"A686521",1,"08/24/2014 09:00:00 AM","Transfer","08/23/2014 11:03:00 AM","Stray","Siamese Mix","Lilac Point",3,0
"A763076",57,"01/28/2018 10:56:00 AM","Adoption","12/02/2017 02:05:00 PM","Owner Surrender","Domestic Shorthair Mix","Black",1,1
"A726565",6,"05/18/2016 06:02:00 PM","Adoption","05/12/2016 12:43:00 PM","Stray","Domestic Shorthair Mix","Black/White",12,1
"A708870",16,"08/17/2015 02:25:00 PM","Adoption","08/01/2015 03:42:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby/White",3,1
"A769663",4,"04/12/2018 05:30:00 PM","Transfer","04/08/2018 01:32:00 PM","Stray","Domestic Shorthair Mix","Black Tabby",24,0
"A656644",6,"09/13/2017 04:41:00 PM","Adoption","09/07/2017 03:23:00 PM","Owner Surrender","Domestic Longhair Mix","Black/White",48,1
"A757997",1,"09/10/2017 10:14:00 AM","Transfer","09/09/2017 05:04:00 PM","Stray","Domestic Shorthair Mix","Lynx Point",2,0
"A771377",5,"05/08/2018 11:25:00 AM","Transfer","05/03/2018 11:00:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",2,0
"A760531",43,"12/01/2017 05:15:00 PM","Adoption","10/19/2017 03:37:00 PM","Stray","Siamese Mix","Lynx Point",4,1
"A704541",11,"06/17/2015 12:40:00 PM","Transfer","06/06/2015 10:53:00 AM","Stray","Domestic Shorthair Mix","Black/White",4,0
"A688440",3,"09/22/2014 07:10:00 PM","Adoption","09/19/2014 02:09:00 PM","Owner Surrender","Domestic Longhair Mix","Calico",84,1
"A740785",9,"12/31/2016 04:12:00 PM","Adoption","12/22/2016 06:53:00 PM","Stray","Domestic Shorthair Mix","Black/White",24,1
"A712753",33,"10/30/2015 02:43:00 PM","Adoption","09/27/2015 03:57:00 PM","Stray","Domestic Shorthair Mix","Orange Tabby",1,1
"A746415",4,"04/06/2017 07:34:00 PM","Adoption","04/02/2017 04:53:00 PM","Stray","Domestic Shorthair Mix","Torbie",1,1
"A758932",8,"10/02/2017 12:06:00 PM","Transfer","09/24/2017 11:19:00 AM","Stray","American Shorthair Mix","Black",4,0
"A709085",10,"08/14/2015 05:21:00 PM","Adoption","08/04/2015 04:24:00 PM","Owner Surrender","Domestic Shorthair","Brown Tabby/White",5,1
"A752598",12,"07/06/2017 03:37:00 PM","Transfer","06/24/2017 03:41:00 PM","Stray","Domestic Shorthair Mix","Black",1,0
"A708338",15,"08/10/2015 01:59:00 PM","Transfer","07/26/2015 11:41:00 AM","Stray","Domestic Shorthair Mix","Black",1,0
"A713823",9,"10/22/2015 07:11:00 PM","Adoption","10/13/2015 06:08:00 PM","Stray","Domestic Shorthair Mix","Tortie",3,1
"A761425",124,"03/08/2018 12:10:00 PM","Missing","11/04/2017 02:07:00 PM","Stray","Domestic Medium Hair Mix","Blue/White",4,0
"A726230",79,"07/26/2016 01:52:00 PM","Adoption","05/08/2016 01:27:00 PM","Stray","Domestic Shorthair Mix","Orange Tabby",3,1
"A680907",3,"06/12/2014 05:46:00 PM","Adoption","06/09/2014 04:54:00 PM","Owner Surrender","Domestic Shorthair Mix","Brown Tabby",2,1
"A768750",62,"05/25/2018 05:03:00 PM","Adoption","03/24/2018 03:34:00 PM","Stray","Domestic Shorthair Mix","Blue",0,1
"A686456",1,"08/23/2014 09:00:00 AM","Transfer","08/22/2014 12:11:00 PM","Stray","Domestic Shorthair Mix","Torbie",12,0
"A733253",5,"08/24/2016 06:31:00 PM","Adoption","08/19/2016 01:19:00 PM","Stray","Domestic Shorthair Mix","Orange Tabby",4,1
"A727649",46,"07/09/2016 05:48:00 PM","Adoption","05/24/2016 12:29:00 PM","Stray","Domestic Shorthair Mix","Blue Tabby/White",4,1
"A738177",1,"11/13/2016 09:00:00 AM","Transfer","11/12/2016 10:12:00 AM","Stray","Siamese Mix","Lynx Point",24,0
"A748830",10,"05/17/2017 06:46:00 PM","Transfer","05/07/2017 03:29:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",4,0
"A694814",1,"01/06/2015 09:00:00 AM","Transfer","01/05/2015 11:01:00 AM","Stray","Domestic Shorthair Mix","Brown Tabby/Brown",24,0
"A736363",4,"10/13/2016 06:48:00 PM","Adoption","10/09/2016 12:26:00 PM","Stray","Siamese Mix","Lilac Point",6,1
"A691262",2,"11/03/2014 03:24:00 PM","Transfer","11/01/2014 05:10:00 PM","Stray","Siamese Mix","Lilac Point",1,0
"A693302",1,"12/06/2014 09:00:00 AM","Transfer","12/05/2014 12:59:00 PM","Stray","Domestic Shorthair Mix","Orange Tabby/White",6,0
"A690297",2,"10/19/2014 07:02:00 PM","Euthanasia","10/17/2014 05:27:00 PM","Stray","Domestic Shorthair Mix","Tortie",12,0
"A731155",52,"09/07/2016 06:13:00 PM","Adoption","07/17/2016 10:01:00 AM","Owner Surrender","Domestic Shorthair Mix","Black/White",2,1
"A731711",1,"07/27/2016 12:00:00 AM","Transfer","07/26/2016 01:30:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",1,0
"A713601",9,"10/18/2015 05:15:00 PM","Adoption","10/09/2015 02:02:00 PM","Owner Surrender","Domestic Shorthair Mix","Brown Tabby",2,1
"A706906",198,"01/19/2016 03:13:00 PM","Adoption","07/05/2015 11:24:00 AM","Stray","Domestic Shorthair Mix","Black",1,1
"A737476",1,"10/30/2016 09:00:00 AM","Transfer","10/29/2016 11:14:00 AM","Stray","Domestic Shorthair Mix","Blue Tabby/White",12,0
"A634068",33,"04/08/2015 06:26:00 PM","Transfer","03/06/2015 12:50:00 AM","Stray","Domestic Shorthair Mix","Orange Tabby/White",24,0
"A681532",1,"06/18/2014 12:50:00 PM","Transfer","06/17/2014 11:23:00 PM","Public Assist","Domestic Longhair Mix","Brown Tabby",2,0
"A671829",2,"02/02/2014 03:01:00 PM","Transfer","01/31/2014 11:12:00 AM","Stray","Domestic Shorthair Mix","Blue Tabby/White",12,0
"A666981",44,"12/24/2013 01:15:00 PM","Adoption","11/10/2013 03:05:00 PM","Owner Surrender","Domestic Shorthair Mix","Black",2,1
"A665354",2,"10/18/2013 12:31:00 PM","Transfer","10/16/2013 05:12:00 PM","Stray","Domestic Shorthair Mix","Torbie",1,0
"A666816",45,"12/22/2013 12:58:00 PM","Transfer","11/07/2013 03:20:00 PM","Public Assist","Siamese/Domestic Shorthair","Black",1,0
"A733367",1,"08/21/2016 09:00:00 AM","Transfer","08/20/2016 04:51:00 PM","Stray","Domestic Shorthair Mix","Blue Tabby",4,0
"A740754",21,"01/12/2017 12:00:00 AM","Transfer","12/22/2016 08:53:00 AM","Owner Surrender","Domestic Shorthair Mix","Orange Tabby/White",36,0
"A656312",9,"04/11/2017 12:08:00 PM","Adoption","04/02/2017 05:52:00 PM","Owner Surrender","Siamese Mix","Seal Point",36,1
"A681469",17,"07/04/2014 01:31:00 PM","Adoption","06/17/2014 11:45:00 AM","Owner Surrender","Domestic Shorthair Mix","Orange Tabby/White",1,1
"A749506",5,"05/20/2017 03:13:00 PM","Adoption","05/15/2017 06:47:00 PM","Stray","Domestic Shorthair Mix","Black",2,1
"A695593",28,"02/15/2015 10:56:00 AM","Transfer","01/18/2015 03:41:00 PM","Stray","Domestic Shorthair Mix","Orange Tabby",24,0
"A679854",5,"06/01/2014 04:26:00 PM","Adoption","05/27/2014 01:08:00 PM","Stray","Snowshoe Mix","Lynx Point",1,1
"A665911",4,"10/28/2013 06:06:00 PM","Adoption","10/24/2013 01:55:00 PM","Stray","Domestic Shorthair Mix","Orange Tabby/White",1,1
"A698007",1,"03/13/2015 09:00:00 AM","Transfer","03/12/2015 02:12:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",24,0
"A702139",28,"06/06/2015 01:33:00 PM","Adoption","05/09/2015 03:47:00 PM","Stray","Domestic Shorthair Mix","Tortie",1,1
"A728730",84,"08/30/2016 11:49:00 AM","Adoption","06/07/2016 03:18:00 PM","Owner Surrender","Domestic Shorthair Mix","Black",1,1
"A771475",3,"05/08/2018 07:20:00 PM","Transfer","05/05/2018 02:51:00 PM","Stray","Domestic Shorthair Mix","Cream Tabby",24,0
"A702090",38,"06/16/2015 08:38:00 AM","Adoption","05/09/2015 10:55:00 AM","Stray","Domestic Shorthair Mix","Orange Tabby",1,1
"A680399",21,"06/23/2014 01:38:00 PM","Transfer","06/02/2014 12:21:00 PM","Stray","Domestic Shorthair Mix","Blue/White",4,0
"A680819",7,"06/15/2014 03:48:00 PM","Adoption","06/08/2014 12:47:00 PM","Owner Surrender","Domestic Medium Hair Mix","Cream Tabby",2,1
"A750607",5,"06/03/2017 11:46:00 AM","Transfer","05/29/2017 02:06:00 PM","Owner Surrender","Domestic Shorthair Mix","White",96,0
"A732940",151,"01/13/2017 02:46:00 PM","Adoption","08/15/2016 12:01:00 PM","Owner Surrender","Domestic Shorthair Mix","Tortie",108,1
"A705478",41,"07/28/2015 02:38:00 PM","Adoption","06/17/2015 07:10:00 PM","Stray","Domestic Shorthair Mix","Tortie",3,1
"A701038",66,"06/28/2015 01:40:00 PM","Adoption","04/23/2015 11:13:00 AM","Stray","Domestic Shorthair Mix","Brown Tabby",2,1
"A717686",13,"12/25/2015 02:17:00 PM","Transfer","12/12/2015 03:06:00 PM","Stray","Domestic Shorthair Mix","Black/White",2,0
"A704141",114,"09/23/2015 02:52:00 PM","Adoption","06/01/2015 10:13:00 PM","Stray","Domestic Shorthair Mix","Orange Tabby",36,1
"A752943",12,"07/11/2017 06:03:00 PM","Transfer","06/29/2017 11:42:00 AM","Stray","Domestic Shorthair Mix","Black/White",2,0
"A664502",9,"10/13/2013 05:49:00 PM","Adoption","10/04/2013 12:08:00 PM","Stray","Domestic Shorthair Mix","Black/White",2,1
"A688304",43,"10/30/2014 06:22:00 PM","Adoption","09/17/2014 06:00:00 PM","Stray","Domestic Shorthair Mix","Calico",4,1
"A723314",7,"04/05/2016 03:21:00 PM","Transfer","03/29/2016 04:44:00 PM","Stray","Domestic Shorthair Mix","Black/White",2,0
"A700611",1,"04/17/2015 04:13:00 PM","Transfer","04/16/2015 04:32:00 PM","Owner Surrender","Domestic Shorthair","Blue Tabby",4,0
"A710608",47,"10/11/2015 02:02:00 PM","Transfer","08/25/2015 11:32:00 AM","Stray","Domestic Medium Hair Mix","Blue Tabby",4,0
"A680346",4,"06/05/2014 02:55:00 PM","Transfer","06/01/2014 03:49:00 PM","Stray","Domestic Shorthair Mix","Orange Tabby",5,0
"A752066",42,"07/29/2017 01:17:00 PM","Transfer","06/17/2017 12:43:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",1,0
"A751296",43,"07/19/2017 05:47:00 PM","Adoption","06/06/2017 12:10:00 PM","Stray","Domestic Medium Hair Mix","Blue Tabby",1,1
"A680154",33,"07/02/2014 05:28:00 PM","Adoption","05/30/2014 11:13:00 AM","Stray","Domestic Shorthair Mix","Tortie",1,1
"A668679",11,"12/18/2013 02:38:00 PM","Transfer","12/07/2013 09:37:00 AM","Stray","Domestic Shorthair Mix","Brown Tabby",24,0
"A697791",56,"04/25/2015 06:05:00 PM","Adoption","02/28/2015 02:10:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby/White",6,1
"A756178",4,"08/19/2017 11:19:00 AM","Adoption","08/15/2017 12:35:00 PM","Owner Surrender","Domestic Shorthair Mix","Black/White",2,1
"A723280",4,"04/02/2016 07:04:00 PM","Adoption","03/29/2016 01:56:00 PM","Stray","Domestic Shorthair Mix","Torbie",12,1
"A693217",1,"12/05/2014 09:00:00 AM","Transfer","12/04/2014 11:20:00 AM","Stray","Domestic Shorthair Mix","Brown Tabby",9,0
"A607606",1,"12/20/2016 09:00:00 AM","Transfer","12/19/2016 02:17:00 PM","Stray","Domestic Shorthair Mix","Orange Tabby",60,0
"A735460",4,"09/28/2016 01:39:00 PM","Transfer","09/24/2016 08:59:00 AM","Owner Surrender","Domestic Shorthair Mix","Black/White",36,0
"A665268",2,"10/17/2013 05:59:00 PM","Transfer","10/15/2013 06:08:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",5,0
"A729249",13,"06/28/2016 03:55:00 PM","Adoption","06/15/2016 11:44:00 AM","Stray","Domestic Shorthair Mix","Orange Tabby/White",1,1
"A762273",1,"11/18/2017 12:00:00 AM","Transfer","11/17/2017 11:26:00 AM","Stray","Domestic Shorthair Mix","Tortie",1,0
"A727119",44,"07/01/2016 12:00:00 AM","Missing","05/18/2016 01:04:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",4,0
"A705079",5,"06/17/2015 12:35:00 PM","Transfer","06/12/2015 06:05:00 PM","Stray","Domestic Shorthair Mix","Orange Tabby",2,0
"A761469",5,"11/10/2017 07:13:00 PM","Transfer","11/05/2017 12:50:00 PM","Stray","American Shorthair Mix","Gray Tabby/White",36,0
"A714594",62,"12/26/2015 05:17:00 PM","Adoption","10/25/2015 03:56:00 PM","Stray","Domestic Shorthair Mix","Tortie",5,1
"A651936",4,"03/06/2016 07:00:00 PM","Adoption","03/02/2016 01:19:00 PM","Stray","Siamese Mix","Calico Point",36,1
"A683027",10,"07/16/2014 05:42:00 PM","Adoption","07/06/2014 11:08:00 AM","Stray","Domestic Shorthair Mix","Brown Tabby",1,1
"A702957",29,"06/17/2015 02:44:00 PM","Transfer","05/19/2015 02:26:00 PM","Owner Surrender","Domestic Shorthair Mix","Brown Tabby/White",144,0
"A686619",36,"09/29/2014 06:09:00 PM","Died","08/24/2014 01:56:00 PM","Stray","Domestic Shorthair Mix","Black/White",4,0
"A700985",6,"04/28/2015 01:00:00 PM","Transfer","04/22/2015 12:07:00 PM","Stray","Domestic Shorthair Mix","Black/White",7,0
"A758977",35,"10/29/2017 06:04:00 PM","Adoption","09/24/2017 04:36:00 PM","Stray","Domestic Shorthair Mix","Orange Tabby/White",36,1
"A733792",8,"09/04/2016 07:13:00 PM","Adoption","08/27/2016 12:23:00 PM","Stray","Domestic Shorthair Mix","Blue/White",1,1
"A676438",1,"04/10/2014 11:39:00 AM","Transfer","04/09/2014 09:16:00 AM","Stray","Domestic Shorthair Mix","Blue Tabby",6,0
"A703547",57,"07/22/2015 09:04:00 AM","Adoption","05/26/2015 12:59:00 PM","Stray","Domestic Shorthair Mix","Black",4,1
"A690668",1,"10/24/2014 12:35:00 PM","Transfer","10/23/2014 06:59:00 PM","Stray","Domestic Shorthair Mix","Blue",3,0
"A727085",4,"05/22/2016 06:18:00 PM","Transfer","05/18/2016 11:01:00 AM","Stray","Domestic Shorthair Mix","Blue",12,0
"A676269",55,"06/01/2014 04:09:00 PM","Adoption","04/07/2014 01:15:00 PM","Stray","Domestic Shorthair Mix","Black",6,1
"A667529",38,"12/27/2013 03:49:00 PM","Transfer","11/19/2013 02:01:00 PM","Owner Surrender","Domestic Shorthair Mix","Tortie",24,0
"A683878",1,"07/17/2014 09:00:00 AM","Transfer","07/16/2014 01:34:00 PM","Stray","Domestic Shorthair Mix","White/Blue",4,0
"A751522",62,"08/10/2017 01:08:00 PM","Adoption","06/09/2017 11:13:00 AM","Stray","Domestic Shorthair Mix","Black",4,1
"A706211",98,"10/02/2015 05:12:00 PM","Adoption","06/26/2015 11:44:00 AM","Stray","Domestic Shorthair Mix","Orange Tabby",1,1
"A752275",39,"07/29/2017 05:56:00 PM","Adoption","06/20/2017 12:39:00 PM","Stray","Domestic Shorthair Mix","Tortie",1,1
"A707049",75,"09/20/2015 02:14:00 PM","Adoption","07/07/2015 11:44:00 AM","Stray","Domestic Shorthair Mix","Black",3,1
"A716045",7,"11/20/2015 11:15:00 AM","Adoption","11/13/2015 12:53:00 PM","Stray","Domestic Shorthair Mix","Calico",2,1
"A753720",4,"07/14/2017 05:59:00 PM","Transfer","07/10/2017 12:45:00 PM","Stray","Domestic Shorthair Mix","Blue Tabby",1,0
"A668086",7,"12/04/2013 12:46:00 PM","Transfer","11/27/2013 01:00:00 PM","Owner Surrender","Domestic Shorthair Mix","Black/White",36,0
"A706331",63,"08/29/2015 02:37:00 PM","Adoption","06/27/2015 02:47:00 PM","Stray","Domestic Shorthair Mix","Black",3,1
"A692740",10,"12/04/2014 12:34:00 PM","Transfer","11/24/2014 06:44:00 PM","Stray","Domestic Medium Hair Mix","Tortie",36,0
"A702770",9,"05/26/2015 12:20:00 PM","Transfer","05/17/2015 02:47:00 PM","Stray","Domestic Medium Hair Mix","White/Brown Tabby",2,0
"A740303",1,"12/15/2016 03:36:00 PM","Transfer","12/14/2016 03:53:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby/White",2,0
"A675184",9,"04/02/2014 05:57:00 PM","Transfer","03/24/2014 05:37:00 PM","Stray","Domestic Shorthair Mix","Black/White",3,0
"A713218",1,"10/05/2015 09:00:00 AM","Transfer","10/04/2015 11:37:00 AM","Stray","Domestic Shorthair Mix","Black",24,0
"A733477",176,"02/14/2017 07:11:00 AM","Adoption","08/22/2016 01:14:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby/White",4,1
"A741435",13,"01/15/2017 05:33:00 PM","Adoption","01/02/2017 12:07:00 PM","Stray","Domestic Shorthair Mix","Black Smoke",3,1
"A717016",28,"12/28/2015 02:36:00 PM","Transfer","11/30/2015 04:59:00 PM","Owner Surrender","Domestic Shorthair Mix","Cream Tabby/White",24,0
"A751568",7,"06/16/2017 12:49:00 PM","Adoption","06/09/2017 03:26:00 PM","Stray","Domestic Shorthair Mix","Blue",3,1
"A762171",3,"11/18/2017 07:08:00 PM","Transfer","11/15/2017 02:38:00 PM","Stray","Domestic Shorthair Mix","Black",5,0
"A701455",47,"06/15/2015 06:30:00 PM","Adoption","04/29/2015 06:11:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby/White",3,1
"A687668",2,"09/10/2014 09:00:00 AM","Transfer","09/08/2014 02:39:00 PM","Stray","Domestic Shorthair","Brown Tabby/White",36,0
"A735644",12,"10/08/2016 04:41:00 PM","Adoption","09/26/2016 06:18:00 PM","Stray","Domestic Shorthair Mix","Blue Tabby",12,1
"A716166",12,"11/27/2015 06:33:00 PM","Adoption","11/15/2015 05:02:00 PM","Stray","Domestic Shorthair Mix","Torbie",1,1
"A720362",4,"02/11/2016 06:07:00 PM","Adoption","02/07/2016 05:24:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby/White",5,1
"A761373",4,"11/07/2017 05:55:00 PM","Adoption","11/03/2017 03:11:00 PM","Stray","Domestic Shorthair Mix","Orange Tabby/White",1,1
"A762536",49,"01/09/2018 04:25:00 PM","Adoption","11/21/2017 01:39:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",4,1
"A680044",45,"07/13/2014 07:25:00 PM","Adoption","05/29/2014 11:14:00 AM","Stray","Domestic Shorthair Mix","Brown Tabby",1,1
"A702421",57,"07/09/2015 06:16:00 PM","Adoption","05/13/2015 01:38:00 PM","Stray","Domestic Shorthair Mix","Black/White",4,1
"A760192",200,"05/02/2018 11:14:00 AM","Adoption","10/14/2017 12:08:00 PM","Stray","Domestic Shorthair Mix","Calico",4,1
"A727099",44,"07/01/2016 02:34:00 PM","Adoption","05/18/2016 11:46:00 AM","Stray","Domestic Shorthair Mix","Brown Tabby/White",1,1
"A759304",23,"10/23/2017 04:51:00 PM","Transfer","09/30/2017 12:36:00 PM","Stray","Domestic Shorthair Mix","Black/White",1,0
"A688550",30,"10/20/2014 11:38:00 AM","Adoption","09/20/2014 03:51:00 PM","Stray","Domestic Shorthair","Black/White",4,1
"A690376",1,"10/20/2014 09:00:00 AM","Transfer","10/19/2014 02:37:00 PM","Stray","Domestic Shorthair Mix","Orange Tabby",7,0
"A734990",8,"09/24/2016 04:06:00 PM","Adoption","09/16/2016 01:55:00 PM","Owner Surrender","Domestic Shorthair Mix","Brown Tabby",2,1
"A756160",8,"08/23/2017 06:42:00 PM","Adoption","08/15/2017 07:46:00 AM","Stray","Domestic Shorthair Mix","Gray Tabby",48,1
"A667446",2,"11/20/2013 03:48:00 PM","Transfer","11/18/2013 11:31:00 AM","Stray","Domestic Medium Hair Mix","Black/White",4,0
"A689801",23,"11/01/2014 03:00:00 PM","Adoption","10/09/2014 04:33:00 PM","Stray","Domestic Shorthair Mix","Orange Tabby",1,1
"A710628",1,"08/26/2015 01:26:00 PM","Transfer","08/25/2015 12:28:00 PM","Stray","Domestic Shorthair Mix","Blue",3,0
"A735205",1,"09/21/2016 09:00:00 AM","Transfer","09/20/2016 02:51:00 PM","Stray","Domestic Medium Hair Mix","Black",12,0
"A598751",5,"04/22/2015 11:55:00 AM","Adoption","04/17/2015 11:36:00 AM","Owner Surrender","Domestic Shorthair","Orange Tabby",48,1
"A735058",1,"09/18/2016 09:00:00 AM","Transfer","09/17/2016 02:06:00 PM","Stray","Domestic Shorthair Mix","Black/White",12,0
